"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq"
NA,"25398377",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"25231430",NA,"250","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28852973",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"29675548",NA,"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"31724752",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"36323299",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"27704499",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"36732518",NA,"15","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20833030",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"29904895",NA,"3","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"32304441",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"31685104",NA,NA,"united states",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"34266608",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"12831671",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24437268",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24643327",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"35871780",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"30917683",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"30346679",NA,"18","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26121267",NA,"25","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"33736481",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"30074551",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"18345968",NA,"4","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"31727222",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20512536",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7975570",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28367283",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"25289445",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23832130",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"19268034",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"25952071",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23591682",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"35755987",NA,"2","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28775949",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"21718584",NA,"23","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23448216",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23293865",NA,"5","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28366491",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24875926",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28329903",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"29900508",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28638039",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23721237",NA,"2","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28527070",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"21129597",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24527723",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"22868543",NA,NA,"united states",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7796548",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23432442",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"18625108",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"36400554",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"22868544",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26031979",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23616207",NA,"250","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"32696077",NA,"50","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26186143",NA,NA,"united kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"21183128",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"19769450",NA,"1800000","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"17686394",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28645128",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15549540",NA,"10","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"21636624",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"25095904",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23809307",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7950344",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24018741",NA,NA,"japan",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24990298",NA,"50","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26140522",NA,NA,"united kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"25091132",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28281110",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28527051",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24666114",NA,"23","china",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16249365",NA,"45000000","united states",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26252596",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"33006064",NA,NA,"germany",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"11480256",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"35230591",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28248698",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"17686396",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"36447146",NA,"2","denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26141299",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23846599",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10682184",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16448875",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"29720813",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24680497",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"17185063",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"25053748",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"9474711",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"22889110",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"35477843",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24801068",NA,"30","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"30334463",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23039391",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"19742415",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"29249511",NA,"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15754926",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"18651939",NA,"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"33580185",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"27562782",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15928350",NA,"15","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"17636136",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16834947",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10871251",NA,"4","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7023351",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"19667986",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"27017019",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"30007749",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20464590",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16872851",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16218385",NA,NA,"united kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"35589316",NA,"2","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10870541",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7990784",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"19126372",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24867844",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"19289230",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"34003164",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16113697",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"12505479",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"18332840",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26252594",NA,"25","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"12602225",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"22540208",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23122969",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"29350125",NA,"4","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10869781",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"25411142",NA,"52","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24600670",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"17894931",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23419620",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20569084",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"8419717",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"1557188",NA,"2","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"31889312",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"18184284",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"19403055",NA,"2","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26926672",NA,"20","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"11167909",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"33109841",NA,"12","mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"27699772",NA,NA,"united kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20415729",NA,"2","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"25672689",NA,NA,"united kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15139725",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"18228047",NA,NA,"united kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23801004",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28886861",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"33824222",NA,NA,"japan",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"11301493",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"21161447",NA,"20","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26547676",NA,NA,"united kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7758098",NA,"76","denmark",NA,NA,NA,NA,NA,NA,25,64,NA
NA,"33118076",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26461909",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15067529",NA,"20","germany",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24127913",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26470883",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"25714969",NA,"3","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"351305",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16575502",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23250609",NA,NA,"united kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23971156",NA,"12","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15030537",NA,"30","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20514531",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"11264683",NA,NA,"cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"18306663",NA,NA,"united kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16688619",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23338772",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
