"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"37736866",,,"china",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37733689",,,"ethiopia",,"tuberculosis, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37730409",,"6","ethiopia",,"",,,,,,,,,,"death",,1,"projTutoNutrition","2023-12-28"
,"37728128",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37722556",,,"ethiopia",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37721462",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37705266",,,"india",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37704720",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37701229",,,"ghana",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37695418",,,"india",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37692641",,,"india",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37686812",,"57","",,"liver disease, cirrhosis, ",,,,,,,,,,"Malnutrition",,1,"projTutoNutrition","2023-12-28"
,"37666561",,,"ethiopia, mali",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37659998",,"208","ethiopia",,"malnutrition, ",,,,,,,,,,"severe acute malnutrition",,1,"projTutoNutrition","2023-12-28"
,"37646367",,"29475","pakistan",,"",,,,,,,,,,"severe wasting",,1,"projTutoNutrition","2023-12-28"
,"37639449",,,"india",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37637798",,,"china",,"anxiety, obesity, malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37625108",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37608070",,,"mali",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37605538",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37601138",,,"turkey",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37600470",,,"kenya, nigeria",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37599259",,,"mali",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37589399",,,"philippines",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37587974",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37585124",,,"nigeria",,"",,,,,,,,,,"malnutrition",,1,"projTutoNutrition","2023-12-28"
,"37571417",,,"pakistan",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37571415",,,"india",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37571298",,,"pakistan",,"iron deficiency, malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37562137",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37551207",,,"",,"histoplasmosis, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37549893",,,"kenya",,"",,,,,,,,,,"severe anemia or severe acute malnutrition",,1,"projTutoNutrition","2023-12-28"
,"32809593",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37536666",,,"brazil, south africa",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37534117",,,"",,"anorexia nervosa, malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37529958",,,"",,"inflammatory bowel disease, malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37527232",,,"bangladesh",,"pneumonia, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37526408",,,"",,"wilms tumor, malnutrition, cancer",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37521811",,,"",,"tuberculosis, malnutrition, coronavirus ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37513658",,,"mali",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37501321",,,"philippines",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"31855368",,,"united states",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37486555",,"740","",,"",,,,,,,,,,"nutritional",,1,"projTutoNutrition","2023-12-28"
,"37485030",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37467414",,,"",,"dermatitis, plan",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37464056",,,"united states",,"malnutrition, chronic kidney disease",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37462817",,,"india",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37436239",,,"united states",,"cerebral palsy, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37434666",,,"indonesia",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37415913",,,"united states",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37415119",,,"south africa",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37414514",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37409212",,,"india",,"tuberculosis, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37405406",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37403126",,,"bangladesh, india, nepal, mali",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37392003",,,"colombia",,"suicide, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37386059",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37380705",,,"india",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37379357",,,"canada",,"",,,,,,,,,,"underweight",,1,"projTutoNutrition","2023-12-28"
,"37377827",,,"",,"mucormycosis, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37340344",,,"ethiopia",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37338528",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37333552",,,"nigeria",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37327159",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37304844",,,"",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37299454",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37278580",,,"mali",,"acute lymphoblastic leukemia, malnutrition, obesity",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37276243",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37275646",,,"laos",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37275622",,,"colombia",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37252682",,,"ethiopia",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37246212",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37231871",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37227249",,,"south africa",,"cancer, malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37221027",,,"pakistan",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37220453",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37213895",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37202085",,,"united kingdom",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37200716",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37189995",,,"thailand",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37181030",,,"",,"pneumonia, malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37180849",,,"nepal",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37179527",,,"",,"cerebral palsy, malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37168516",,,"ethiopia",,"measles, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37167923",,,"",,"malnutrition, iron deficiency",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37149597",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37147654",,,"ethiopia",,"obesity, malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37147158",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37138388",,,"united states",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37123316",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37118793",,,"ethiopia, mali",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37093817",,,"bangladesh",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37085783",,,"mali",,"hodgkin lymphoma, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37082705",,,"",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37069518",,"157","cameroon, kenya",,"",,,,,,,,,,"HIV",,1,"projTutoNutrition","2023-12-28"
,"37053587",,,"india",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37051337",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37046971",,,"south africa",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37040379",,,"nigeria",,"malnutrition, ",,,,,,,,,,"malnutrition",,1,"projTutoNutrition","2023-12-28"
,"37037207",,,"bangladesh, united states",,"pneumonia, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37016328",,,"ethiopia",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37014983",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36998629",,,"",,"shigellosis, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36997490",,,"thailand",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36997482",,"24","",,"",,,,,,,,,,"weight loss",,1,"projTutoNutrition","2023-12-28"
,"36996004",,,"",,"cirrhosis, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36992910",,,"indonesia",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36983870",,,"",,"malnutrition, chronic kidney disease, obesity",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36978100",,,"nigeria",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36973103",,,"mali",,"cancer, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36967172",,,"",,"malnutrition, ",,,,,,,,,,"moderate wasting",,1,"projTutoNutrition","2023-12-28"
,"36963894",,"121","iran",,"malnutrition, cirrhosis",,,,,,,,,,"Viral infections",,1,"projTutoNutrition","2023-12-28"
,"36962941",,,"ethiopia",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36959669",,,"cameroon",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36942917",,,"",,"obesity, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36937329",,,"",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36934232",,,"",,"malnutrition, congenital heart disease, mobile application",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36927287",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36926941",,,"colombia",,"cancer, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36925345",,,"",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36914462",,,"",,"inflammatory bowel disease, malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36904243",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36880736",,,"canada",,"malnutrition, congenital heart disease",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36880722",,,"mexico",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"33620844",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36876519",,,"",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36866283",,,"",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36848361",,,"mali",,"malnutrition, ",,,,,,,,,,"mortality",,1,"projTutoNutrition","2023-12-28"
,"36843979",,,"nepal",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36843963",,,"ethiopia",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36827363",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36827241",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36808738",,,"india",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36808171",,"723","brazil, mali",,"cancer, ",,,,,,,,,,"malnutrition",,1,"projTutoNutrition","2023-12-28"
,"36805325",,,"",,"pneumonia, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36796480",,"499","kenya",,"",,,,,,,,,,"stunting",,1,"projTutoNutrition","2023-12-28"
,"36782170",,,"ethiopia",,"cancer, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36782145",,"345","nepal",,"disability, malnutrition",,,,,,,,,,"malnutrition",,1,"projTutoNutrition","2023-12-28"
,"36771416",,,"",,"cancer, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36771190",,,"italy",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36753217",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36744021",,,"pakistan",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36742003",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36721321",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36717950",,,"mali",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36712578",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"36707878",,,"zimbabwe",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
