"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"37381093",,,"",,"type 1 diabetes, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37377978",,,"",,"asthma, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37375775",,,"",,"rich, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37334837",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37309199",,,"",,"atrial fibrillation, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37293396",,,"",,"alzheimer's disease, cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37290492",,,"",,"stroke, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37282567",,,"mali",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37279785",,,"",,"amyloidosis, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37275347",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37271287",,,"mali",,"hearing loss, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37270543",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37262952",,,"",,"cognitive impairment, inflammatory bowel disease, ulcerative colitis, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37251801",,,"united kingdom",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37243356",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37225692",,"2","",,"neurological disorders, depression, schizophrenia, bipolar disorder, autism",,,,,,,,,,"major depression disorder",,1,"projTutoParkinson","2023-12-28"
,"37221566",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37220890",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37210782",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37205443",,,"",,"parkinson's disease, cognitive impairment",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37197329",,,"",,"cognitive impairment, dementia, ischemic stroke",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37181629",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37173774",,,"united kingdom",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37172627",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37165609",,,"",,"dementia, ",,,,,,,,,,"maternal history of dementia",,1,"projTutoParkinson","2023-12-28"
,"37133683",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37124951",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37106874",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37101349",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
